    YEAR          X        Y        Z      X_SIG    Y_SIG    Z_SIG
 2014.016309   18.169    1.809  -12.749    1.117    0.865    1.706
 2014.184083   14.767    0.008   -9.160    1.139    0.877    1.592
 2014.344782   14.267   -3.027  -13.013    1.253    0.846    3.375
 2014.507287   13.682   -4.303  -15.426    1.008    3.080    2.722
 2014.678229   14.231    0.571  -16.494    1.020    1.716    1.623
 2014.831790   15.274    1.868  -13.197    1.141    0.905    2.024
 2015.004787   16.162   -0.164  -19.060    1.312    1.036    2.094
 2015.172458   17.301   -2.781  -12.513    1.297    0.979    2.053
 2015.337194   15.599   -3.330  -13.555    1.133    0.883    1.750
 2015.497281   13.460   -4.432  -19.554    1.160    0.751    1.898
 2015.657453   12.772    0.021  -19.022    1.020    1.197    1.628
 2015.821062   13.548    1.564  -11.842    1.139    0.933    1.869
 2015.984048   15.042    2.291   -8.851    1.292    1.228    2.063
 2016.156782   13.123   -0.073  -14.051    1.308    1.198    2.152
 2016.319818   15.255   -3.506  -18.286    1.239    2.384    1.918
 2016.477841   11.963   -2.549  -20.029    1.402    2.235    5.111
 2016.650026   10.449   -0.617  -21.218    1.201    1.171    3.735
 2016.803660   12.271    1.487  -13.949    1.173    0.957    1.838
 2016.971494   13.789    1.773  -11.761    1.505    1.215    1.956
 2017.143221   15.011    0.480  -12.377    1.204    0.861    1.742
 2017.301085   15.190   -2.413  -11.261    1.148    0.792    1.531
 2017.464433   14.665   -3.144  -17.838    1.528    0.814    1.569
 2017.631245   12.365    0.193  -19.502    1.185    0.822    1.683
 2017.791862   13.626    3.127  -14.735    1.073    0.787    1.738
 2017.959712   15.284    1.253  -18.598    1.398    0.990    2.071
 2018.125769   17.045   -1.179  -15.530    1.171    0.929    1.828
 2018.293776   15.923   -2.566  -12.789    1.347    1.855    1.875
 2018.457491   13.909   -3.306  -16.517    1.565    1.050    1.801
 2018.617085   12.022   -2.030  -17.592    1.247    0.824    1.669
 2018.775048   14.065   -0.224  -13.251    1.219    0.889    1.792
 2018.942334   16.310    1.442  -10.508    1.413    1.625    2.122
